year,month,central_lat,central_lon,mean_flux,TPM_flux,CO2_flux,CO_flux,CH4_flux
2020,August,-4.25,-58.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-58.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-57.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-57.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-56.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-56.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-55.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-55.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-54.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-54.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-53.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-53.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-52.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-52.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-51.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-51.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-50.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-50.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-49.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-49.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-48.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-48.25,0.004609162453562021,0.00010877623572014272,0.020254885777831078,0.0013003136264160275,8.126960165100172e-05
2020,August,-4.75,-71.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-71.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-70.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-70.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-69.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-69.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-68.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-68.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-67.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-67.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-66.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-66.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-65.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-65.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-64.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-64.25,0.0,0.0,0.0,0.0,0.0
